케이맨제도,5522625585.023 (US$),5935769350.774 (US$)
중앙아프리카공화국,2220979144.520 (US$),2220307318.749 (US$)
차드,11239167048.492 (US$),11314951342.781 (US$)
칠레,297571693064.212 (US$),279385487344.526 (US$)
중국,13894817549380.300 (US$),14279937467431.000 (US$)
홍콩,361691522612.745 (US$),363016373358.517 (US$)
콜롬비아,334198214706.209 (US$),323429888934.257 (US$)
코모로,1178530633.815 (US$),1165839899.803 (US$)
콩고민주공화국,46831342212.547 (US$),50400746171.424 (US$)
콩고,13642740884.136 (US$),12693562947.786 (US$)
코스타리카,62335931464.498 (US$),63951114302.260 (US$)
코트디부아르,58011466450.864 (US$),58539424929.725 (US$)
크로아티아,61375222347.026 (US$),60752588976.318 (US$)
쿠바,100050000000.000 (US$),103131000000.000 (US$)
키프로스,25309818138.876 (US$),24949065263.629 (US$)
체코,248950103352.137 (US$),250686478649.064 (US$)
덴마크,356879499797.896 (US$),350104327658.675 (US$)
지부티,3012820409.633 (US$),3324634256.133 (US$)
도미니카연방,551074074.074 (US$),574607407.407 (US$)
도미니카공화국,85555378042.820 (US$),88941299733.502 (US$)
에콰도르,107562008000.000 (US$),108108009000.000 (US$)
이집트,249712999437.254 (US$),303080865603.645 (US$)
엘살바도르,26020850000.000 (US$),26896660000.000 (US$)
적도기니,13097012189.400 (US$),11417278044.986 (US$)
에스토니아,30631142226.853 (US$),31471100656.243 (US$)
에티오피아,84269348327.345 (US$),95912590628.141 (US$)
페로제도,3051341335.952 (US$),3126293219.780 (US$)
피지,5581393120.629 (US$),5496250694.316 (US$)
핀란드,275984345123.137 (US$),268966065200.000 (US$)
프랑스,2787863958885.490 (US$),2715518274227.450 (US$)
가봉,16862282413.878 (US$),16874450215.135 (US$)
감비아,1670670668.594 (US$),1826073739.825 (US$)
조지아,17599700090.762 (US$),17477255562.258 (US$)
독일,3963767526250.980 (US$),3861123558039.210 (US$)
가나,65315955122.808 (US$),67234292582.761 (US$)
그리스,212249754841.292 (US$),205326724570.227 (US$)
그린란드,3051626389.637 (US$),-
그레나다,1168696296.296 (US$),1211403703.704 (US$)
괌,6051000000.000 (US$),6311000000.000 (US$)
과테말라,73208583758.911 (US$),77020015201.320 (US$)
기니,11857030336.527 (US$),13513809258.208 (US$)
기니비사우,1504630120.993 (US$),1439638443.381 (US$)
가이아나,4787635821.461 (US$),5173759527.507 (US$)
아이티,15965670198.455 (US$),14332163266.398 (US$)
온두라스,24067778953.842 (US$),25089976946.774 (US$)
헝가리,160431092908.646 (US$),163503650313.081 (US$)
아이슬란드,26224228693.395 (US$),24836714771.464 (US$)
인도,2701111782774.570 (US$),2870504096717.480 (US$)
인도네시아,1042271531011.990 (US$),1119091259074.620 (US$)
이란,294356680624.658 (US$),258245497664.394 (US$)
이라크,212271807144.367 (US$),222434137055.838 (US$)
아일랜드,386155676371.470 (US$),398590210120.337 (US$)
이스라엘,370455651179.958 (US$),394652208893.138 (US$)
이탈리아,2092138739019.840 (US$),2004913357800.000 (US$)
자메이카,15730793852.791 (US$),15830768549.892 (US$)
일본,4954806619995.190 (US$),5064872875604.590 (US$)
요르단,42932112676.056 (US$),44502895915.493 (US$)
카자흐스탄,179339994859.384 (US$),181667190075.541 (US$)
케냐,87778582964.139 (US$),95503088538.092 (US$)
키리바시,196737895.995 (US$),194647201.946 (US$)
한국,1724845615629.260 (US$),1646739219509.890 (US$)
쿠웨이트,138182400493.585 (US$),136196760180.976 (US$)
키르기스스탄,8271106196.043 (US$),8871019822.767 (US$)
라오스,17953786416.143 (US$),18245925331.240 (US$)
라트비아,34416012859.187 (US$),34055464655.325 (US$)
레바논,54961275741.559 (US$),51991634491.635 (US$)
레소토,2514146887.917 (US$),2366213068.575 (US$)
라이베리아,3264000000.000 (US$),3070518100.000 (US$)
리비아,52607888717.949 (US$),52091152228.343 (US$)
리히텐슈타인,6839145106.862 (US$),-
리투아니아,53722883091.351 (US$),54639938780.235 (US$)
룩셈부르크,70919958015.525 (US$),71104919108.141 (US$)
마카오,55302446577.888 (US$),55153707948.702 (US$)
북마케도니아,12679934731.389 (US$),12547086168.490 (US$)
마다가스카르,13614412550.872 (US$),14191911512.041 (US$)
말라위,9712994564.916 (US$),10862613621.906 (US$)
말레이시아,358715057123.739 (US$),364681367531.684 (US$)
몰디브,5299773143.696 (US$),5642179170.459 (US$)
말리,17070866299.095 (US$),17281815733.960 (US$)
몰타,14864712990.163 (US$),15215714309.097 (US$)
마셜제도,221588900.000 (US$),239462200.000 (US$)
모리타니,7050987978.121 (US$),7600650037.846 (US$)
모리셔스,14181930162.416 (US$),14046337854.847 (US$)
멕시코,1222348807283.200 (US$),1268870527160.030 (US$)
미크로네시아,401932300.000 (US$),408060600.000 (US$)
몰도바,11456728401.307 (US$),11968699005.980 (US$)
모나코,7194024563.061 (US$),7423709839.919 (US$)
몽골,13108769495.747 (US$),13996719329.424 (US$)
모로코,118096227400.092 (US$),119700325461.938 (US$)
모잠비크,14845870050.709 (US$),15291448211.603 (US$)
미얀마,68697759361.231 (US$),79844294296.065 (US$)
나미비아,13681065175.486 (US$),12565772084.744 (US$)
네팔,33111525182.713 (US$),34186180694.929 (US$)
네덜란드,914043438179.607 (US$),907050863145.097 (US$)
뉴질랜드,208870426803.316 (US$),209127454522.901 (US$)
니카라과,13025208219.769 (US$),12611218627.063 (US$)
니제르,12846952856.846 (US$),12911689659.351 (US$)
나이지리아,397190484464.308 (US$),448120428858.769 (US$)
북마리아나제도,1302000000.000 (US$),1182000000.000 (US$)
노르웨이,436999692591.454 (US$),405510000000.000 (US$)
오만,79788768968.949 (US$),76331518668.577 (US$)
파키스탄,314567541558.339 (US$),278221906022.841 (US$)
팔라우,280435700.000 (US$),268354900.000 (US$)
파나마,64928300000.000 (US$),66787900000.000 (US$)
파푸아뉴기니,24109509852.740 (US$),24829107011.070 (US$)
파라과이,40225448340.632 (US$),37906944074.613 (US$)
페루,222574697255.522 (US$),228470919605.669 (US$)
필리핀,346842094174.513 (US$),376823278560.849 (US$)
폴란드,587408980271.710 (US$),595862086928.211 (US$)
포르투갈,242313116577.967 (US$),239510770948.274 (US$)
푸에르토리코,100925000000.000 (US$),104914600000.000 (US$)
카타르,183334953813.209 (US$),175837550996.185 (US$)
루마니아,241457403085.042 (US$),249696854574.199 (US$)
러시아,1657328865709.990 (US$),1687448525466.610 (US$)
르완다,9640280084.196 (US$),10355974217.374 (US$)
사모아,821496064.526 (US$),852250190.985 (US$)
산마리노,1655300872.534 (US$),1616369645.996 (US$)
상투메프린시페,412253809.729 (US$),427425039.684 (US$)
사우디아라비아,786521831573.333 (US$),792966838160.000 (US$)
세네갈,23116699808.172 (US$),23306213742.360 (US$)
세이셸,1586008999.748 (US$),1581380268.643 (US$)
시에라리온,4085114794.223 (US$),4121733705.292 (US$)
싱가포르,375981539145.907 (US$),374386306993.109 (US$)
슬로바키아,105526182493.787 (US$),105119160234.117 (US$)
슬로베니아,54161636034.652 (US$),54174227308.886 (US$)
솔로몬제도,1574599182.647 (US$),1570215577.361 (US$)
소말리아,4720727283.205 (US$),4942319040.698 (US$)
남아프리카공화국,368288939768.322 (US$),351431649241.439 (US$)
스페인,1422153839840.780 (US$),1393490524517.640 (US$)
스리랑카,87954272082.107 (US$),83975584254.403 (US$)
세인트키츠네비스,1010822222.222 (US$),1044711111.111 (US$)
세인트루시아,2065875074.074 (US$),2122450629.630 (US$)
세인트빈센트그레나딘,811300000.000 (US$),824718518.519 (US$)
수단,34522586970.002 (US$),32250448249.460 (US$)
수리남,3996247906.198 (US$),4221373022.258 (US$)
에스와티니,4665424249.062 (US$),4471598726.644 (US$)
스웨덴,555455371487.089 (US$),531283304459.667 (US$)
스위스,735889205256.251 (US$),731474367940.429 (US$)
타지키스탄,7765014424.338 (US$),8300784856.879 (US$)
탄자니아,57003713748.232 (US$),61136873747.332 (US$)
태국,506611070188.362 (US$),544263968873.601 (US$)
동티모르,1559894900.000 (US$),2017924900.000 (US$)
토고,7112200725.002 (US$),7220395247.742 (US$)
통가,489235527.395 (US$),512350059.422 (US$)
트리니다드토바고,23679919654.989 (US$),23208326547.533 (US$)
튀니지,39770478673.165 (US$),39195716330.425 (US$)
터키,778377023568.884 (US$),761428183369.171 (US$)
투르크메니스탄,40765428571.429 (US$),45231428571.429 (US$)
우간다,32912338571.340 (US$),35170037380.863 (US$)
우크라이나,130901858421.720 (US$),153929501862.341 (US$)
아랍에미리트,422215043594.282 (US$),421142267937.372 (US$)
영국,2857507502963.100 (US$),2830813507746.870 (US$)
미국,20611860934000.000 (US$),21433224697000.000 (US$)
우루과이,64515038268.137 (US$),61231149880.586 (US$)
우즈베키스탄,50392607758.232 (US$),57726542784.920 (US$)
바누아투,914727908.138 (US$),930337960.037 (US$)
베트남,245213686369.157 (US$),261921244843.172 (US$)
예멘,23486269598.986 (US$),-
잠비아,26311637646.654 (US$),23308688906.129 (US$)
짐바브웨,19523622341.613 (US$),16932434838.693 (US$)
맨섬,7491969312.875 (US$),-
코소보,7942961738.309 (US$),7953156068.070 (US$)
몬테네그로,5506767831.838 (US$),5542674764.890 (US$)
세르비아,50640650221.462 (US$),51475016532.129 (US$)
터크스케이커스제도,1113178000.000 (US$),1197415000.000 (US$)
투발루,42588164.973 (US$),47271463.330 (US$)
미국령버진아일랜드,3984000000.000 (US$),-
세계,86347154919771.900 (US$),87607919950618.100 (US$)
